Date,temparature_C,Humidity,NLDC Demand
01.02.2021,14.48166667,71.0575,240.25
02.02.2021,16.13958333,69.19291667,241.4583333
03.02.2021,17.65291667,69.72916667,240.75
04.02.2021,19.585,64.4975,240.7916667
05.02.2021,18.68666667,69.98416667,225.3333333
06.02.2021,18.8325,71.745,233.0833333
07.02.2021,17.80958333,73.54208333,238.5416667
08.02.2021,18.87416667,67.6775,241.4583333
09.02.2021,19.095,63.84666667,238.2916667
10.02.2021,18.73416667,63.54958333,238.25
11.02.2021,18.85708333,59.77583333,241.3333333
12.02.2021,19.18708333,62.57083333,231.7916667
13.02.2021,19.41666667,64.94083333,269.0416667
14.02.2021,19.54833333,66.83875,274.25
15.02.2021,19.58958333,62.5475,278.9166667
16.02.2021,19.85125,55.57,245.0833333
17.02.2021,20.69708333,64.05708333,246.5416667
18.02.2021,21.70625,70.4325,252.4583333
19.02.2021,21.36833333,65.16333333,233.7916667
20.02.2021,21.48875,64.9575,240.125
21.02.2021,21.18166667,56.48041667,239.4166667
22.02.2021,21.22875,55.36208333,247.5833333
23.02.2021,20.77083333,59.32291667,241.25
24.02.2021,21.69958333,55.45833333,247.75
25.02.2021,21.40458333,63.555,252.3333333
26.02.2021,21.00125,68.51083333,238.2916667
27.02.2021,21.3225,71.605,255.25
28.02.2021,23.40041667,61.60125,265.25
01.03.2021,23.68041667,64.46666667,276.5
02.03.2021,23.20083333,60.52083333,278.625
03.03.2021,24.05708333,56.41541667,277.25
04.03.2021,21.93291667,52.25208333,276.8333333
05.03.2021,22.62125,58.36458333,257.4583333
06.03.2021,23.12583333,78.58791667,240.4166667
07.03.2021,22.36708333,74.82583333,256.4166667
08.03.2021,22.2375,69.02125,269.1666667
09.03.2021,22.9575,77.58833333,254.8333333
10.03.2021,23.39083333,79.72166667,279.75
11.03.2021,23.74125,77.92958333,289.2916667
12.03.2021,24.4575,68.21375,281.2916667
13.03.2021,24.215,64.16125,268.0416667
14.03.2021,23.47208333,67.32125,276.3333333
15.03.2021,23.60125,66.50875,293.9166667
16.03.2021,24.27708333,57.40333333,302.0416667
17.03.2021,24.45541667,50.81791667,303.625
18.03.2021,24.8,51.97916667,307.375
19.03.2021,24.86958333,59.87416667,294.5833333
20.03.2021,25.05583333,57.8225,312.4583333
21.03.2021,25.84958333,57.63041667,514.25
22.03.2021,26.83708333,50.36125,339.9583333
23.03.2021,26.63875,50.54208333,340.5833333
24.03.2021,26.72666667,55.72125,342.2083333
25.03.2021,25.7975,53.97666667,340.5833333
26.03.2021,25.65458333,50.26875,314.1666667
27.03.2021,26.75875,38.3575,327.4166667
28.03.2021,26.36208333,41.54916667,320.75
29.03.2021,27.72958333,49.42208333,356.8333333
30.03.2021,24.80708333,80.05458333,179.4583333
31.03.2021,26.23291667,80.62,200.9583333
01.04.2021,25.91083333,79.27916667,250.75
02.04.2021,25.83958333,72.40041667,266.0833333
03.04.2021,25.64416667,70.9375,309.125
04.04.2021,26.05791667,61.045,267.1666667
05.04.2021,26.32375,60.89083333,293.25
06.04.2021,27.11875,51.07708333,317.0416667
07.04.2021,25.58916667,67.39083333,334.4166667
08.04.2021,26.04166667,71.86416667,341.6666667
09.04.2021,25.7675,79.3675,290.5833333
10.04.2021,26.77833333,72.71125,335.625
11.04.2021,27.35583333,71.71291667,352.9583333
12.04.2021,28.59416667,63.84666667,379.3333333
13.04.2021,29.23041667,55.53083333,383.5833333
14.04.2021,26.58166667,68.86958333,394.8333333
15.04.2021,26.74958333,65.38083333,364.4583333
16.04.2021,24.73041667,79.7325,312.2083333
17.04.2021,24.73833333,76.26875,256.2083333
18.04.2021,25.00583333,75.88291667,308.2083333
19.04.2021,27.0125,68.58375,289.375
20.04.2021,25.81208333,74.84375,339.2916667
21.04.2021,26.35458333,72.31375,355.2083333
22.04.2021,26.57458333,76.2675,343.375
23.04.2021,27.32333333,60.8075,372.7083333
24.04.2021,26.92291667,61.13041667,368.0833333
25.04.2021,27.78666667,59.33875,401.875
26.04.2021,28.3675,62.89625,412.875
27.04.2021,28.92166667,65.41916667,431.7916667
28.04.2021,28.81541667,67.59166667,414.875
